year,index,language,discipline,context,alternatives_intro,alternative_A,alternative_B,alternative_C,alternative_D,alternative_E,correct_alternative,has_images,image_path
2009,148,,matematica,"A tabela mostra alguns dados da emissão de dióxido de carbono de uma fábrica, em função do número de toneladas produzidas.

![](https://enem.dev/2009/questions/148/052af6e6-63f3-43e2-be36-96d0f5a48ab4.jpg)",Os dados na tabela indicam que a taxa média de variação entre a emissão de dióxido de carbono (em ppm) e a produção (em toneladas) é,"Inferior a 0,18.","Superior a 0,18 e inferior a 0,50.","Superior a 0,50 e inferior a 1,50.","Superior a 1,50 e inferior a 2,80.","Superior a 2,80.",D,True,dags/data//images/052af6e6-63f3-43e2-be36-96d0f5a48ab4.jpg
2009,150,,matematica,"Brasil e França têm relações comerciais há mais de 200 anos. Enquanto a França é a 5ª nação mais rica do planeta, o Brasil é a 10ª, e ambas se destacam na economia mundial. No entanto, devido a uma série de restrições, o comércio entre esses dois países ainda não é adequadamente explorado, como mostra a tabela seguinte, referente ao período 2003-2007.

![](https://enem.dev/2009/questions/150/345210ee-8d51-4c8d-b6ca-05541e682160.jpg)","Os dados da tabela mostram que, no período considerado, os valores médios dos investimentos da França no Brasil foram maiores que os investimentos do Brasil na França em um valor",Inferior a 300 milhões de dólares.,"Superior a 300 milhões de dólares, mas inferior a 400 milhões de dólares.","Superior a 400 milhões de dólares, mas inferior a 500 milhões de dólares.","Superior a 500 milhões de dólares, mas inferior a 600 milhões de dólares.",Superior a 600 milhões de dólares.,D,True,dags/data//images/345210ee-8d51-4c8d-b6ca-05541e682160.jpg
2009,151,,matematica,"Um grupo de 50 pessoas fez um orçamento inicial para organizar uma festa, que seria dividido entre elas em cotas iguais. Verificou-se ao final que, para arcar com todas as despesas, faltavam R$ 510,00, e que 5 novas pessoas haviam ingressado no grupo. No acerto foi decidido que a despesa total seria dividida em partes iguais pelas 55 pessoas. Quem não havia ainda contribuído pagaria a sua parte, e cada uma das 50 pessoas do grupo inicial deveria contribuir com mais R$ 7,00.","De acordo com essas informações, qual foi o valor da cota calculada no acerto final para cada uma das 55 pessoas?","R$ 14,00.","R$ 17,00.","R$ 22,00.","R$ 32,00.","R$ 57,00.",D,False,
2009,152,,matematica,"**Técnicos concluem mapeamento do aquífero Guarani**

O aquífero Guarani localiza-se no subterrâneo dos territórios da Argentina, Brasil, Paraguai e Uruguai, com extensão total de 1.200.000 quilômetros quadrados, dos quais 840.000 quilômetros quadrados estão no Brasil. O aquífero armazena cerca de 30 mil quilômetros cúbicos de água e é considerado um dos maiores do mundo.  
Na maioria das vezes em que são feitas referências à água, são usadas as unidades metro cúbico e litro, e não as unidades já descritas. A Companhia de Saneamento Básico do Estado de São Paulo (SABESP) divulgou, por exemplo, um novo reservatório cuja capacidade de armazenagem é de 20 milhões de litros.

Disponível em: http://noticias.terra.com.br. Acesso em: 10 jul. 2009 (adaptado).","Comparando as capacidades do aquífero Guarani e desse novo reservatório da SABESP, a capacidade do aquífero Guarani é","1,5 x 102 vezes a capacidade do reservatório novo.","1,5 x 103 vezes a capacidade do reservatório novo.","1,5 x 106 vezes a capacidade do reservatório novo.","1,5 x 108 vezes a capacidade do reservatório novo.","1,5 x 109 vezes a capacidade do reservatório novo.",E,False,
2009,153,,matematica,"Suponha que, na escultura do artista Emanoel Araújo, mostrada na figura a seguir, todos os prismas numerados em algarismos romanos são retos, com bases triangulares, e que as faces laterais do poliedro II são perpendiculares à sua própria face superior, que, por sua vez, é um triângulo congruente ao triângulo base dos prismas. Além disso, considere que os prismas I e III são perpendiculares ao prisma IV e ao poliedro II.

![](https://enem.dev/2009/questions/153/0aaaf8f3-e87d-435c-901f-40781e411de9.jpg)","Imagine um plano paralelo à face α do prisma I, mas que passe pelo ponto P pertencente à aresta do poliedro II, indicado na figura. A interseção desse plano imaginário com a escultura contém",Dois triângulos congruentes com lados correspondentes paralelos.,Dois retângulos congruentes e com lados correspondentes paralelos.,Dois trapézios congruentes com lados correspondentes perpendiculares.,Dois paralelogramos congruentes com lados correspondentes paralelos.,Dois quadriláteros congruentes com lados correspondentes perpendiculares.,A,True,dags/data//images/0aaaf8f3-e87d-435c-901f-40781e411de9.jpg
2009,154,,matematica,"A rampa de um hospital tem na sua parte mais elevada uma altura de 2,2 metros. Um paciente ao caminhar sobre a rampa percebe que se deslocou 3,2 metros e alcançou uma altura de 0,8 metro.",A distância em metros que o paciente ainda deve caminhar para atingir o ponto mais alto da rampa é,"1,16 metros.","3,0 metros.","5,4 metros.","5,6 metros.","7,04 metros.",D,False,
2009,155,,matematica,"Um posto de combustível vende 10.000 litros de álcool por dia a R$ 1,50 cada litro. Seu proprietário percebeu que, para cada centavo de desconto que  concedia por litro, eram vendidos 100 litros a mais por dia. Por exemplo, no dia em que o preço do álcool foi R$ 1,48, foram vendidos 10.200 litros.","Considerando x o valor, em centavos, do desconto dado no preço de cada litro, e V o valor, em R$, arrecadado por dia com a venda do álcool, então a expressão que relaciona V e x é",V = 10.000 + 50x – x².,V = 10.000 + 50x + x².,V = 15.000 – 50x – x².,V = 15.000 + 50x – x².,V = 15.000 – 50x + x².,D,False,
2009,156,,matematica,"Para cada indivíduo, a sua inscrição no Cadastro de Pessoas Físicas (CPF) é composto por um número de 9 algarismos e outro número de 2 algarismos, na forma _d1_ e _d2_, em que os dígitos _d1_ e _d2_ são denominados dígitos verificadores. Os dígitos verificadores são calculados, a partir da esquerda, da seguinte maneira: os 9 primeiros algarismos são multiplicados pela sequência 10, 9, 8, 7, 6, 5, 4, 3, 2 (o primeiro por 10, o segundo por 9, e assim sucessivamente); em seguida, calcula-se o resto _r_ da divisão da soma dos resultados das multiplicações por 11, e se esse resto _r_ for 0 ou 1, _d1_ é zero, caso contrário _d1_ = (11 – r). O dígito _d2_ é calculado pela mesma regra, na qual os números a serem multiplicados pela sequência dada são contados a partir do segundo algarismo, sendo _d1_ o último algarismo, isto é, _d2_ é zero se o resto _s_ da divisão por 11 das somas das multiplicações for 0 ou 1, caso contrário, _d2_ = (11 – _s_).","Suponha que João tenha perdido seus documentos, inclusive o cartão de CPF e, ao dar queixa da perda na delegacia, não conseguisse lembrar quais eram os dígitos verificadores, recordando-se apenas que os nove primeiros algarismos eram 123.456.789. Neste caso, os dígitos verificadores d1 e d2 esquecidos são, respectivamente,",0 e 9.,1 e 4.,1 e 7.,9 e 1.,0 e 1.,A,False,
2009,158,,matematica,"A figura a seguir mostra as medidas reais de uma aeronave que será fabricada para utilização por companhias de transporte aéreo. Um engenheiro precisa fazer o desenho desse avião em escala de 1:150.

![](https://enem.dev/2009/questions/158/ee2af503-e5d1-45f8-b7f1-372e3cec5e11.jpg)","Para o engenheiro fazer esse desenho em uma folha de papel, deixando uma margem de 1 cm em relação às bordas da folha, quais as dimensões mínimas, em centímetros, que essa folha deverá ter?","2,9 cm × 3,4 cm.","3,9 cm × 4,4 cm.",20 cm × 25 cm.,21 cm × 26 cm.,192 cm × 242 cm.,D,True,dags/data//images/ee2af503-e5d1-45f8-b7f1-372e3cec5e11.jpg
2009,159,,matematica,"Um experimento consiste em colocar certa quantidade de bolas de vidro idênticas em um copo com água até certo nível e medir o nível da água, conforme ilustrado na figura a seguir. Como resultado do experimento, concluiu-se que o nível da água é função do número de bolas de vidro que são colocadas dentro do copo.

![](https://enem.dev/2009/questions/159/c49b9a82-ca97-42ec-89a8-0d08a9c8abd3.jpg)

O quadro a seguir mostra alguns resultados do experimento realizado.

![](https://enem.dev/2009/questions/159/09fc439a-a96c-466c-a8a7-0928313480ae.jpg)",Qual a expressão algébrica que permite calcular o nível da água (y) em função do número de bolas (x)?,Y = 30x.,"Y = 25x + 20,2.","Y = 1,27x.","Y = 0,7x.","Y = 0,07x + 6.",E,True,dags/data//images/c49b9a82-ca97-42ec-89a8-0d08a9c8abd3.jpg
2009,160,,matematica,"Uma cooperativa de colheita propôs a um fazendeiro um contrato de trabalho nos seguintes termos: a cooperativa forneceria 12 trabalhadores e 4 máquinas, em um regime de trabalho de 6 horas diárias, capazes de colher 20 hectares de milho por dia, ao custo de R$ 10,00 por trabalhador por dia de trabalho, e R$ 1.000,00 pelo aluguel diário de cada máquina. O fazendeiro argumentou que fecharia contrato se a cooperativa colhesse 180 hectares de milho em 6 dias, com gasto inferior a R$ 25.000,00.","Para atender às exigências do fazendeiro e supondo que o ritmo dos trabalhadores e das máquinas seja constante, a cooperativa deveria",Manter sua proposta.,Oferecer 4 máquinas a mais.,Oferecer 6 trabalhadores a mais.,Aumentar a jornada de trabalho para 9 horas diárias.,"Reduzir em R$ 400,00 o valor do aluguel diário de uma máquina.",D,False,
2009,161,,matematica,"Suponha que a etapa final de uma gincana escolar consista em um desafio de conhecimentos. Cada equipe escolheria 10 alunos para realizar uma prova objetiva, e a pontuação da equipe seria dada pela mediana das notas obtidas pelos alunos. As provas valiam, no máximo, 10 pontos cada. Ao final, a vencedora foi a equipe Ômega, com 7,8 pontos, seguida pela equipe Delta, com 7,6 pontos. Um dos alunos da equipe Gama, a qual ficou na terceira e última colocação, não pôde comparecer, tendo recebido nota zero na prova. As notas obtidas pelos 10 alunos da equipe Gama foram 10; 6,5; 8; 10; 7; 6,5; 7; 8; 6; 0.","Se o aluno da equipe Gama que faltou tivesse comparecido, essa equipe","Teria a pontuação igual a 6,5 se ele obtivesse nota 0.",Seria a vencedora se ele obtivesse nota 10.,Seria a segunda colocada se ele obtivesse nota 8.,"Permaneceria na terceira posição, independentemente da nota obtida pelo aluno.",Empataria com a equipe Ômega na primeira colocação se o aluno obtivesse nota 9.,D,False,
2009,162,,matematica,"Uma escola lançou uma campanha para seus alunos arrecadarem, durante 30 dias, alimentos não perecíveis para doar a uma comunidade carente da região. Vinte alunos aceitaram a tarefa e nos primeiros 10 dias trabalharam 3 horas diárias, arrecadando 12 kg de alimentos por dia. Animados com os resultados, 30 novos alunos somaram-se ao grupo, e passaram a trabalhar 4 horas por dia nos dias seguintes até o término da campanha.","Admitindo-se que o ritmo de coleta tenha se mantido constante, a quantidade de alimentos arrecadados ao final do prazo estipulado seria de",920 kg.,800 kg.,720 kg.,600 kg.,570 kg.,A,False,
2009,163,,matematica,"Segundo as regras da Fórmula 1, o peso mínimo do carro, de tanque vazio, com o piloto, é de 605 kg, e a gasolina deve ter densidade entre 725 e 780 gramas por litro. Entre os circuitos nos quais ocorrem competições dessa categoria, o mais longo é _Spa-Francorchamps_, na Bélgica, cujo traçado tem 7 km de extensão. O consumo médio de um carro da Fórmula 1 é de 75 litros para cada 100 km.","Suponha que um piloto de uma equipe específica, que utiliza um tipo de gasolina com densidade de 750 g/L, esteja no circuito de Spa-Francorchamps, parado no box para reabastecimento. Caso ele pretenda dar mais 16 voltas, ao ser liberado para retornar à pista, seu carro deverá pesar, no mínimo,",617 kg.,668 kg.,680 kg.,689 kg.,717 kg.,B,False,
2009,164,,matematica,"Ao morrer, o pai de João, Pedro e José deixou como herança um terreno retangular de 3 km x 2 km que contém uma área de extração de ouro delimitada por um quarto de círculo de raio 1 km a partir do canto inferior esquerdo da propriedade. Dado o maior valor da área de extração de ouro, os irmãos acordaram em repartir a propriedade de modo que cada um ficasse com a terça parte da área de extração, conforme mostra a figura.

![](https://enem.dev/2009/questions/164/fbf84d66-498d-4521-8b27-9a164c60237d.jpg)","Em relação à partilha proposta, constata-se que a porcentagem da área do terreno que coube a João corresponde, aproximadamente, a
(considere  √3/3 = 0,58)",50%.,43%,37%,33%,19%,E,True,dags/data//images/fbf84d66-498d-4521-8b27-9a164c60237d.jpg
2009,165,,matematica,"Doze times se inscreveram em um torneio de futebol amador. O jogo de abertura do torneio foi escolhido da seguinte forma: primeiro foram sorteados 4 times para compor o Grupo A. Em seguida, entre os times do Grupo A, foram sorteados 2 times para realizar o jogo de abertura do torneio, sendo que o primeiro deles jogaria em seu próprio campo, e o segundo seria o time visitante.",A quantidade total de escolhas possíveis para o Grupo A e a quantidade total de escolhas dos times do jogo de abertura podem ser calculadas através de,"Uma combinação e um arranjo, respectivamente.","Um arranjo e uma combinação, respectivamente.","Um arranjo e uma permutação, respectivamente.",Duas combinações.,Dois arranjos.,A,False,
2009,167,,matematica,"O quadro apresenta informações da área aproximada de cada bioma brasileiro.

![](https://enem.dev/2009/questions/167/2e45ce65-e1cb-4d1c-975d-1a4c2feade5f.jpg)

É comum em conversas informais, ou mesmo em noticiários, o uso de múltiplos da área de um campo de futebol (com as medidas de 120 m x 90 m) para auxiliar a visualização de áreas consideradas extensas","Nesse caso, qual é o número de campos de futebol correspondente à área aproximada do bioma Pantanal?",1.400,14.000,140.000,1.400.000,14.000.000,E,True,dags/data//images/2e45ce65-e1cb-4d1c-975d-1a4c2feade5f.jpg
2009,168,,matematica,"Na tabela, são apresentados dados da cotação mensal do ovo extra branco vendido no atacado, em Brasília, em reais, por caixa de 30 dúzias de ovos, em alguns meses dos anos 2007 e 2008.

![](https://enem.dev/2009/questions/168/f683544b-94d1-456c-bdfb-f2e964881776.jpg)","De acordo com esses dados, o valor da mediana das cotações mensais do ovo extra branco nesse período era igual a","R$ 73,10.","R$ 81,50.","R$ 82,00.","R$ 83,00.","R$ 85,30.",D,True,dags/data//images/f683544b-94d1-456c-bdfb-f2e964881776.jpg
2009,169,,matematica,"A vazão do rio Tietê, em São Paulo, constitui preocupação constante nos períodos chuvosos. Em alguns trechos, são construídas canaletas para controlar o fluxo de água. Uma dessas canaletas, cujo corte vertical determina a forma de um trapézio isósceles, tem as medidas especificadas na figura I. Neste caso, a vazão da água é de 1.050 m³/s. O cálculo da vazão, Q em m³/s, envolve o produto da área A do setor transversal (por onde passa a água), em m², pela velocidade da água no local, v, em m/s, ou seja, Q = Av.  
Planeja-se uma reforma na canaleta, com as dimensões especificadas na figura II, para evitar a ocorrência de enchentes.

![](https://enem.dev/2009/questions/169/ff2b8876-8f76-444b-b4d9-15556da637ec.jpg)","Na suposição de que a velocidade da água não se alterará, qual a vazão esperada para depois da reforma na canaleta?",90 m³/s.,750 m³/s.,1.050 m³/s.,1.512 m³/s.,2.009 m³/s.,D,True,dags/data//images/ff2b8876-8f76-444b-b4d9-15556da637ec.jpg
2009,170,,matematica,"A resolução das câmeras digitais modernas é dada em _megapixels_, unidade de medida que representa um milhão de pontos. As informações sobre cada um desses pontos são armazenadas, em geral, em 3 _bytes_. Porém, para evitar que as imagens ocupem muito espaço, elas são submetidas a algoritmos de compressão, que reduzem em até 95% a quantidade de _bytes_ necessários  
para armazená-las. Considere 1 KB = 1.000 bytes, 1 MB = 1.000 KB, 1 GB = 1.000 MB.","Utilizando uma câmera de 2.0 megapixels cujo algoritmo de compressão é de 95%, João fotografou 150 imagens para seu trabalho escolar. Se ele deseja armazená-las de modo que o espaço restante no dispositivo seja o menor espaço possível, ele deve utilizar",Um CD de 700 MB.,Um pendrive de 1 GB.,Um HD externo de 16 GB.,Um memory stick de 16 MB.,Um cartão de memória de 64 MB.,E,False,
2009,171,,matematica,"A população brasileira sabe, pelo menos intuitivamente, que a probabilidade de acertar as seis dezenas da mega sena não é zero, mas é quase. Mesmo assim, milhões de pessoas são atraídas por essa loteria, especialmente quando o prêmio se acumula em valores altos. Até junho de 2009, cada aposta de seis dezenas, pertencentes ao conjunto {01, 02, 03, …, 59, 60}, custava R$ 1,50.

Disponível em: www.caixa.gov.br. Acesso em: 7 jul. 2009.

Considere que uma pessoa decida apostar exatamente R$ 126,00 e que esteja mais interessada em acertar apenas cinco das seis dezenas da mega sena, justamente pela dificuldade desta última.","Nesse caso, é melhor que essa pessoa faça 84 apostas de seis dezenas diferentes, que não tenham cinco números em comum, do que uma única aposta com nove dezenas, porque a probabilidade de acertar a quina no segundo caso em relação ao primeiro é, aproximadamente,",1 1/2 vez menor.,2 1/2 vezes menor.,4 vezes menor.,9 vezes menor.,14 vezes menor.,C,False,
2009,172,,matematica,"Nos últimos anos, o volume de petróleo exportado pelo Brasil tem mostrado expressiva tendência de crescimento, ultrapassando as importações em 2008. Entretanto, apesar de as importações terem se mantido praticamente no mesmo patamar desde 2001, os recursos gerados com as exportações ainda são inferiores àqueles despendidos com as importações, uma vez que o preço médio por metro cúbico do petróleo importado é superior ao do petróleo nacional. Nos primeiros cinco meses de 2009, foram gastos 2,84 bilhões de dólares com importações e gerada uma receita de 2,24 bilhões de dólares com as exportações. O preço médio por metro cúbico em maio de 2009 foi de 340 dólares para o petróleo importado e de 230 dólares para o petróleo exportado. O quadro a seguir mostra os dados consolidados de 2001 a 2008 e dos primeiros cinco meses de 2009.

![](https://enem.dev/2009/questions/172/5f549378-e9d4-4d17-9950-19a0f32f95b7.jpg)

Considere que as importações e exportações de petróleo de junho a dezembro de 2009 sejam iguais a 7/5 das  
importações e exportações, respectivamente, ocorridas de janeiro a maio de 2009.","Nesse caso, supondo que os preços para importação e exportação não sofram alterações, qual seria o valor mais aproximado da diferença entre os recursos despendidos com as importações e os recursos gerados com as exportações em 2009?",600 milhões de dólares.,840 milhões de dólares.,"1,34 bilhão de dólares.","1,44 bilhão de dólares.","2,00 bilhões de dólares.",C,True,dags/data//images/5f549378-e9d4-4d17-9950-19a0f32f95b7.jpg
2009,173,,matematica,"Uma fábrica produz velas de parafina em forma de pirâmide quadrangular regular com 19 cm de altura e 6 cm de aresta da base. Essas velas são formadas por 4 blocos de mesma altura — 3 troncos de pirâmide de bases paralelas e 1 pirâmide na parte superior —, espaçados de 1 cm entre eles, sendo que a base superior de cada bloco é igual à base inferior do bloco sobreposto, com uma haste de ferro passando pelo centro de cada bloco, unindo-os, conforme a figura.

![](https://enem.dev/2009/questions/173/e9b7219c-4c2a-459d-a1ce-d4e7a3ec2c25.jpg)","Se o dono da fábrica resolver diversificar o modelo, retirando a pirâmide da parte superior, que tem 1,5 cm de aresta na base, mas mantendo o mesmo molde, quanto ele passará a gastar com parafina para fabricar uma vela?",156 cm³.,189 cm³.,192 cm³.,216 cm³.,540 cm³.,B,True,dags/data//images/e9b7219c-4c2a-459d-a1ce-d4e7a3ec2c25.jpg
2009,174,,matematica,"Considere um ponto P em uma circunferência de raio r no plano cartesiano. Seja Q a projeção ortogonal de P sobre o eixo x, como mostra a figura, e suponha que o ponto P percorra, no sentido anti-horário, uma distância d ≤ r sobre a circunferência.

![](https://enem.dev/2009/questions/174/29dd5a77-8236-4be7-bdf2-fe2a3bfc482c.jpg)","Então, o ponto Q percorrerá, no eixo x, uma distância dada por",R( 1 - sen d/r ).,R( 1 - cos d/r ).,R( 1 - tag d/r ).,Rsen (r/d).,Rcos (r/d).,B,True,dags/data//images/29dd5a77-8236-4be7-bdf2-fe2a3bfc482c.jpg
