year,index,language,discipline,context,alternatives_intro,alternative_A,alternative_B,alternative_C,alternative_D,alternative_E,correct_alternative,has_images
2009,109,,linguagens,![](https://enem.dev/2009/questions/109/1422ce0e-d489-4fc4-af98-06be69f0d8e8.jpg),A linguagem da tirinha revela,O uso de expressões linguísticas e vocabulário próprios de épocas antigas.,O uso de expressões linguísticas inseridas no registro mais formal da língua.,O caráter coloquial expresso pelo uso do tempo verbal no segundo quadrinho.,O uso de um vocabulário específico para situações comunicativas de emergência.,A intenção comunicativa dos personagens: a de estabelecer a hierarquia entre eles.,C,True
2009,11,,ciencias-natureza,"Para que todos os órgãos do corpo humano funcionem em boas condições, é necessário que a temperatura do corpo fique sempre entre 36ºC e 37ºC. Para manter-se dentro dessa faixa, em dias de muito calor ou durante intensos exercícios físicos, uma série de mecanismos fisiológicos é acionada.",Pode-se citar como o principal responsável pela manutenção da temperatura corporal humana o sistema,"Digestório, pois produz enzimas que atuam na quebra de alimentos calóricos.","Imunológico, pois suas células agem no sangue, diminuindo a condução do calor.","Nervoso, pois promove a sudorese, que permite perda de calor por meio da evaporação da água.","Reprodutor, pois secreta hormônios que alteram a temperatura, principalmente durante a menopausa.","Endócrino, pois fabrica anticorpos que, por sua vez, atuam na variação do diâmetro dos vasos periféricos.",C,False
2009,110,,linguagens,"O “Portal Domínio Público”, lançado em novembro de 2004, propõe o compartilhamento de conhecimentos de forma equânime e gratuita, colocando à disposição de todos os usuários da Internet, uma biblioteca virtual que deverá constituir referência para professores, alunos, pesquisadores e para a população em geral.  
Esse portal constitui um ambiente virtual que permite a coleta, a integração, a preservação e o compartilhamento de conhecimentos, sendo seu principal objetivo o de promover o amplo acesso às obras literárias, artísticas e científicas (na forma de textos, sons, imagens e vídeos), já em domínio público ou que tenham a sua divulgação devidamente autorizada.

**BRASIL.** Ministério da Educação. Disponível em: http://www.dominiopublico.gov.br.  
Acesso em: 29 jul. 2009 (adaptado).","Considerando a função social das informações geradas nos sistemas de comunicação e informação, o ambiente virtual descrito no texto exemplifica",A dependência das escolas públicas quanto ao uso de sistemas de informação.,"A ampliação do grau de interação entre as pessoas, a partir de tecnologia convencional.","A democratização da informação, por meio da disponibilização de conteúdo cultural e científico à sociedade.",A comercialização do acesso a diversas produções culturais nacionais e estrangeiras via tecnologia da informação e da comunicação.,A produção de repertório cultural direcionado a acadêmicos e educadores.,C,False
2009,111,,linguagens,"**Cuitelinho**

Cheguei na bera do porto  
Onde as onda se espaia.  
As garça dá meia volta,  
Senta na bera da praia.  
E o cuitelinho não gosta  
Que o botão da rosa caia.

Quando eu vim da minha terra,  
Despedi da parentaia.  
Eu entrei em Mato Grosso,  
Dei em terras paraguaia.  
Lá tinha revolução,  
Enfrentei fortes bataia.

A tua saudade corta  
Como o aço de navaia.  
O coração fica aflito,  
Bate uma e outra faia.  
E os oio se enche d´água  
Que até a vista se atrapaia.

Folclore recolhido por Paulo Vanzolini e Antônio Xandó.  
BORTONI-RICARDO, S. M. **Educação em língua materna.** São Paulo: Parábola, 2004.","Transmitida por gerações, a canção Cuitelinho manifesta aspectos culturais de um povo, nos quais se inclui sua forma de falar, além de registrar um momento histórico. Depreende-se disso que a importância em preservar a produção cultural de uma nação consiste no fato de que produções como a canção Cuitelinho evidenciam a",Recriação da realidade brasileira de forma ficcional.,Criação neológica na língua portuguesa.,Formação da identidade nacional por meio da tradição oral.,Incorreção da língua portuguesa que é falada por pessoas do interior do Brasil.,"Padronização de palavras que variam regionalmente, mas possuem mesmo significado.",C,False
2009,112,,linguagens,"![](https://enem.dev/2009/questions/112/4d3d4611-5050-4e7e-8329-d76f2c17ca69.jpg)

A feição deles é serem pardos, maneira d’avermelhados, de bons rostos e bons narizes, bem feitos. Andam nus, sem nenhuma cobertura, nem estimam nenhuma cousa cobrir, nem mostrar suas vergonhas. E estão acerca disso com tanta inocência como têm em mostrar o rosto.

CAMINHA, P. V. **A carta.** Disponível em: www.dominiopublico.gov.br.  
Acesso em: 12 ago. 2009.","Ao se estabelecer uma relação entre a obra de Eckhout e o trecho do texto de Caminha, conclui-se que","Ambos se identificam pelas características estéticas marcantes, como tristeza e melancolia, do movimento romântico das artes plásticas.","O artista, na pintura, foi fiel ao seu objeto, representando-o de maneira realista, ao passo que o texto é apenas fantasioso.","A pintura e o texto têm uma característica em comum, que é representar o habitante das terras que sofreriam processo colonizador.",O texto e a pintura são baseados no contraste entre a cultura europeia e a cultura indígena.,"Há forte direcionamento religioso no texto e na pintura, uma vez que o índio representado é objeto da catequização jesuítica.",C,True
2009,113,,linguagens,,"As tecnologias de informação e comunicação (TIC) vieram aprimorar ou substituir meios tradicionais de comunicação e armazenamento de informações, tais como o rádio e a TV analógicos, os livros, os telégrafos, o fax etc. As novas bases tecnológicas são mais poderosas e versáteis, introduziram fortemente a possibilidade de comunicação interativa e estão presentes em todos os meios produtivos da atualidade. As novas TIC vieram acompanhadas da chamada Digital Divide, Digital Gap ou Digital Exclusion, traduzidas para o português como Divisão Digital ou Exclusão Digital, sendo, às vezes, também usados os termos Brecha Digital ou Abismo Digital. Nesse contexto, a expressão Divisão Digital refere-se a","Uma classificação que caracteriza cada uma das áreas nas quais as novas TIC podem ser aplicadas, relacionando os padrões de utilização e exemplificando o uso dessas TIC no mundo moderno.","Uma relação das áreas ou subáreas de conhecimento que ainda não foram contempladas com o uso das novas tecnologias digitais, o que caracteriza uma brecha tecnológica que precisa ser minimizada.",Uma enorme diferença de desempenho entre os empreendimentos que utilizam as tecnologias digitais e aqueles que permaneceram usando métodos e técnicas analógicas.,"Um aprofundamento das diferenças sociais já existentes, uma vez que se torna difícil a aquisição de conhecimentos e habilidades fundamentais pelas populações menos favorecidas nos novos meios produtivos.",Uma proposta de educação para o uso de novas pedagogias com a finalidade de acompanhar a evolução das mídias e orientar a produção de material pedagógico com apoio de computadores e outras técnicas digitais.,D,False
2009,114,,linguagens,"![](https://enem.dev/2009/questions/114/210b6d6d-83b0-4ea3-9e5e-f132e9192614.jpg)

Você sabia que as metrópoles são as grandes consumidoras dos produtos feitos com recursos naturais da Amazônia? Você pode diminuir os impactos à floresta adquirindo produtos com selos de certificação. Eles são encontrados em itens que vão desde lápis e embalagens de papelão até móveis, cosméticos e materiais de construção. Para receber os selos esses produtos devem ser fabricados sob 10 princípios éticos, entre eles o respeito à legislação ambiental e aos direitos de povos indígenas e populações que vivem em nossas matas nativas.

**Vida simples**. Ed. 74, dez. 2008.",O texto e a imagem têm por finalidade induzir o leitor a uma mudança de comportamento a partir do(a),Consumo de produtos naturais provindos da Amazônia.,Cuidado na hora de comprar produtos alimentícios.,Verificação da existência do selo de padronização de produtos industriais.,Certificação de que o produto foi fabricado de acordo com os princípios éticos.,Verificação da garantia de tratamento dos recursos naturais utilizados em cada produto.,D,True
2009,115,,linguagens,"A dança é importante para o índio preparar o corpo e a garganta e significa energia para o corpo, que fica robusto. Na aldeia, para preparo físico, dançamos desde cinco horas da manhã até seis horas da tarde, passa-se o dia inteiro dançando quando os padrinhos planejam a dança dos adolescentes. O padrinho é como um professor, um preparador físico dos adolescentes. Por exemplo, o padrinho sonha com um determinado canto e planeja para todos entoarem. Todos os tipos de dança vêm dos primeiros xavantes: Wamarĩdzadadzeiwawẽ, Butséwawẽ, Tseretomodzatsewawẽ, que foram descobrindo através da sabedoria como iria ser a cultura Xavante. Até hoje existe essa cultura, essa celebração. Quando o adolescente fura a orelha é obrigatório ele dançar toda a noite, tem de acordar meia-noite para dançar e cantar, é obrigatório, eles vão chamando um ao outro com um grito especial.

WÉRÉ’ É TSI’RÓBÓ, E. A dança e o canto-celebração da existência xavante. **VIS-Revista do** **Programa de Pós-Graduação em Arte da UnB.** V. 5, n. 2, dez. 2006.","A partir das informações sobre a dança Xavante, conclui-se que o valor da diversidade artística e da tradição cultural apresentados originam-se da",Iniciativa individual do indígena para a prática da dança e do canto.,Excelente forma física apresentada pelo povo Xavante.,Multiculturalidade presente na sua manifestação cênica.,"Inexistência de um planejamento da estética da dança, caracterizada pelo ineditismo.",Preservação de uma identidade entre a gestualidade ancestral e a novidade dos cantos a serem entoados.,E,False
2009,116,,linguagens,"**Canção do vento e da minha vida**

O vento varria as folhas,  
O vento varria os frutos,  
O vento varria as flores…  
 E a minha vida ficava  
 Cada vez mais cheia  
 De frutos, de flores, de folhas.  
\[…\]  
O vento varria os sonhos  
E varria as amizades…  
O vento varria as mulheres…  
 E a minha vida ficava  
 Cada vez mais cheia  
 De afetos e de mulheres.

O vento varria os meses  
E varria os teus sorrisos…  
O vento varria tudo!  
 E a minha vida ficava  
 Cada vez mais cheia  
 De tudo.

BANDEIRA, M. **Poesia completa e prosa.** Rio de Janeiro: José Aguilar, 1967.",Predomina no texto a função da linguagem,"Fática, porque o autor procura testar o canal de comunicação.","Metalinguística, porque há explicação do significado das expressões.","Conativa, uma vez que o leitor é provocado a participar de uma ação.","Referencial, já que são apresentadas informações sobre acontecimentos e fatos reais.","Poética, pois chama-se a atenção para a elaboração especial e artística da estrutura do texto.",E,False
2009,117,,linguagens,"**Canção do vento e da minha vida**

O vento varria as folhas,  
O vento varria os frutos,  
O vento varria as flores…  
 E a minha vida ficava  
 Cada vez mais cheia  
 De frutos, de flores, de folhas.  
\[…\]  
O vento varria os sonhos  
E varria as amizades…  
O vento varria as mulheres…  
 E a minha vida ficava  
 Cada vez mais cheia  
 De afetos e de mulheres.

O vento varria os meses  
E varria os teus sorrisos…  
O vento varria tudo!  
 E a minha vida ficava  
 Cada vez mais cheia  
 De tudo.

BANDEIRA, M. **Poesia completa e prosa.** Rio de Janeiro: José Aguilar, 1967.","Na estruturação do texto, destaca-se",A construção de oposições semânticas.,A apresentação de ideias de forma objetiva.,"O emprego recorrente de figuras de linguagem, como o eufemismo.",A repetição de sons e de construções sintáticas semelhantes.,A inversão da ordem sintática das palavras.,D,False
2009,118,,linguagens,"Teatro do Oprimido é um método teatral que sistematiza exercícios, jogos e técnicas teatrais elaboradas pelo teatrólogo brasileiro Augusto Boal, recentemente falecido, que visa à desmecanização física e intelectual de seus praticantes. Partindo do princípio de que a linguagem teatral não deve ser diferenciada da que é usada cotidianamente pelo cidadão comum (oprimido), ele propõe condições práticas para que o oprimido se aproprie dos meios do fazer teatral e, assim, amplie suas possibilidades de expressão. Nesse sentido, todos podem desenvolver essa linguagem e, consequentemente, fazer teatro. Trata-se de um teatro em que o espectador é convidado a substituir o protagonista e mudar a condução ou mesmo o fim da história, conforme o olhar interpretativo e contextualizado do receptor.

**Companhia Teatro do Oprimido**. Disponível em: www.ctorio.org.br.  
Acesso em: 1 jul. 2009 (adaptado).","Considerando-se as características do Teatro do Oprimido apresentadas, conclui-se que","Esse modelo teatral é um método tradicional de fazer teatro que usa, nas suas ações cênicas, a linguagem rebuscada e hermética falada normalmente pelo cidadão comum.","A forma de recepção desse modelo teatral se destaca pela separação entre atores e público, na qual os atores representam seus personagens e a plateia assiste passivamente ao espetáculo.","Sua linguagem teatral pode ser democratizada e apropriada pelo cidadão comum, no sentido de proporcionar-lhe autonomia crítica para compreensão e interpretação do mundo em que vive.",O convite ao espectador para substituir o protagonista e mudar o fim da história evidencia que a proposta de Boal se aproxima das regras do teatro tradicional para a preparação de atores.,"A metodologia teatral do Teatro do Oprimido segue a concepção do teatro clássico aristotélico, que visa à desautomação física e intelectual de seus praticantes.",C,False
2009,119,,linguagens,"**Texto I**  
O professor deve ser um guia seguro, muito senhor de sua língua; se outra for a orientação, vamos cair na “língua brasileira”, refúgio nefasto e confissão nojenta de ignorância do idioma pátrio, recurso vergonhoso de homens de cultura falsa e de falso patriotismo. Como havemos de querer que respeitem a nossa nacionalidade se somos os primeiros a descuidar daquilo que exprime e representa o idioma pátrio?

ALMEIDA, N. M. **Gramática metódica da língua portuguesa.**  
**Prefácio.** São Paulo: Saraiva, 1999 (adaptado).

**Texto II**  
Alguns leitores poderão achar que a linguagem desta Gramática se afasta do padrão estrito usual neste tipo de livro. Assim, o autor escreve _tenho que reformular_, e não _tenho de reformular_; _pode-se colocar dois constituintes_, e não _podem-se colocar dois constituintes_; e assim por diante. Isso foi feito de caso pensado, com a preocupação de aproximar a linguagem da gramática do padrão atual brasileiro presente nos textos técnicos jornalísticos de nossa época.

REIS, N. Nota do editor. PERINI, M. A. **Gramática descritiva**  
**do português.** São Paulo: Ática, 1996.","Confrontando-se as opiniões defendidas nos dois textos, conclui-se que",Ambos os textos tratam da questão do uso da língua com o objetivo de criticar a linguagem do brasileiro.,Os dois textos defendem a ideia de que o estudo da gramática deve ter o objetivo de ensinar as regras prescritivas da língua.,"A questão do português falado no Brasil é abordada nos dois textos, que procuram justificar como é correto e aceitável o uso coloquial do idioma.","O primeiro texto enaltece o padrão estrito da língua, ao passo que o segundo defende que a linguagem jornalística deve criar suas próprias regras gramaticais.","O primeiro texto prega a rigidez gramatical no uso da língua, enquanto o segundo defende uma adequação da língua escrita ao padrão atual brasileiro.",E,False
2009,12,,ciencias-natureza,"![](https://enem.dev/2009/questions/12/233eafdb-167e-4978-a815-54aad9e6bee2.jpg)

Em solução, os ânions do sabão podem hidrolisar a água e, desse modo, formar o ácido carboxílico correspondente. Por exemplo, para o estearato de sódio, é estabelecido o seguinte equilíbrio:

![](https://enem.dev/2009/questions/12/63593c90-04b4-48ea-b9c5-1205f73bef95.jpg)

Uma vez que o ácido carboxílico formado é pouco solúvel em água e menos eficiente na remoção de gorduras, o pH do meio deve ser controlado de maneira a evitar que o equilíbrio acima seja deslocado para a direita.","Com base nas informações do texto, é correto concluir que os sabões atuam de maneira:",Mais eficiente em pH básico.,Mais eficiente em pH ácido.,Mais eficiente em pH neutro.,Eficiente em qualquer faixa de pH.,Mais eficiente em pH ácido ou neutro.,A,True
2009,120,,linguagens,"No decênio de 1870, Franklin Távora defendeu a tese de que no Brasil havia duas literaturas independentes dentro da mesma língua: uma do Norte e outra do Sul, regiões segundo ele muito diferentes por formação histórica, composição étnica, costumes, modismos linguísticos etc. Por isso, deu aos romances regionais que  
publicou o título geral de **Literatura do Norte**. Em nossos dias, um escritor gaúcho, Viana Moog, procurou mostrar com bastante engenho que no Brasil há, em verdade, literaturas setoriais diversas, refletindo as características locais.

CANDIDO, A. A nova narrativa. **A educação pela noite e**  
**outros ensaios.** São Paulo: Ática, 2003","Com relação à valorização, no romance regionalista brasileiro, do homem e da paisagem de determinadas regiões nacionais, sabe-se que","O romance do Sul do Brasil se caracteriza pela temática essencialmente urbana, colocando em relevo a formação do homem por meio da mescla de características locais e dos aspectos culturais trazidos de fora pela imigração europeia.","José de Alencar, representante, sobretudo, do romance urbano, retrata a temática da urbanização das cidades brasileiras e das relações conflituosas entre as raças.","O romance do Nordeste caracteriza-se pelo acentuado realismo no uso do vocabulário, pelo temário local, expressando a vida do homem em face da natureza agreste, e assume frequentemente o ponto de vista dos menos favorecidos.","A literatura urbana brasileira, da qual um dos expoentes é Machado de Assis, põe em relevo a formação do homem brasileiro, o sincretismo religioso, as raízes africanas e indígenas que caracterizam o nosso povo.","Érico Veríssimo, Rachel de Queiroz, Simões Lopes Neto e Jorge Amado são romancistas das décadas de 30 e 40 do século XX, cuja obra retrata a problemática do homem urbano em confronto com a modernização do país promovida pelo Estado Novo.",D,False
